"Year","Quantity","Model","Value"
1969,"Total biomass","Model 23.2 bridge",7525.51451171564
1970,"Total biomass","Model 23.2 bridge",8210.83108311813
1971,"Total biomass","Model 23.2 bridge",8131.21568225955
1972,"Total biomass","Model 23.2 bridge",7390.62552767015
1973,"Total biomass","Model 23.2 bridge",6636.9136843198
1974,"Total biomass","Model 23.2 bridge",5585.77275303265
1975,"Total biomass","Model 23.2 bridge",4789.96251355522
1976,"Total biomass","Model 23.2 bridge",4353.38169629073
1977,"Total biomass","Model 23.2 bridge",4051.45624109452
1978,"Total biomass","Model 23.2 bridge",4290.1687481613
1979,"Total biomass","Model 23.2 bridge",5471.40130694649
1980,"Total biomass","Model 23.2 bridge",6209.41159376766
1981,"Total biomass","Model 23.2 bridge",7712.45001050512
1982,"Total biomass","Model 23.2 bridge",9300.38099906448
1983,"Total biomass","Model 23.2 bridge",10645.9529642211
1984,"Total biomass","Model 23.2 bridge",10378.04161652
1985,"Total biomass","Model 23.2 bridge",12230.3404060814
1986,"Total biomass","Model 23.2 bridge",11061.3907999909
1987,"Total biomass","Model 23.2 bridge",10665.8408608831
1988,"Total biomass","Model 23.2 bridge",9603.1625610307
1989,"Total biomass","Model 23.2 bridge",8169.23804316056
1990,"Total biomass","Model 23.2 bridge",7814.83737609103
1991,"Total biomass","Model 23.2 bridge",8906.83375046454
1992,"Total biomass","Model 23.2 bridge",9809.71393145164
1993,"Total biomass","Model 23.2 bridge",10408.560763826
1994,"Total biomass","Model 23.2 bridge",10603.1555252551
1995,"Total biomass","Model 23.2 bridge",8863.14156893607
1996,"Total biomass","Model 23.2 bridge",9252.59551158156
1997,"Total biomass","Model 23.2 bridge",8639.06388708566
1998,"Total biomass","Model 23.2 bridge",8794.0262067606
1999,"Total biomass","Model 23.2 bridge",8857.5958989446
2000,"Total biomass","Model 23.2 bridge",9177.82518305889
2001,"Total biomass","Model 23.2 bridge",9039.48201965637
2002,"Total biomass","Model 23.2 bridge",9485.97613203755
2003,"Total biomass","Model 23.2 bridge",10774.9205258651
2004,"Total biomass","Model 23.2 bridge",9958.25165843348
2005,"Total biomass","Model 23.2 bridge",8213.77432965876
2006,"Total biomass","Model 23.2 bridge",6933.57055679303
2007,"Total biomass","Model 23.2 bridge",6353.39836002399
2008,"Total biomass","Model 23.2 bridge",5035.10787481493
2009,"Total biomass","Model 23.2 bridge",6004.41175373325
2010,"Total biomass","Model 23.2 bridge",7927.77746687363
2011,"Total biomass","Model 23.2 bridge",8753.80905252424
2012,"Total biomass","Model 23.2 bridge",8885.47337239837
2013,"Total biomass","Model 23.2 bridge",9668.9906006247
2014,"Total biomass","Model 23.2 bridge",10521.8589020499
2015,"Total biomass","Model 23.2 bridge",11616.592884855
2016,"Total biomass","Model 23.2 bridge",12655.8779332455
2017,"Total biomass","Model 23.2 bridge",11695.7427175097
2018,"Total biomass","Model 23.2 bridge",10152.8645715608
2019,"Total biomass","Model 23.2 bridge",10837.9514945894
2020,"Total biomass","Model 23.2 bridge",11398.225580399
2021,"Total biomass","Model 23.2 bridge",11031.9550061679
2022,"Total biomass","Model 23.2 bridge",11957.0500172324
2023,"Total biomass","Model 23.2 bridge",10661.2839546581
2024,"Total biomass","Model 23.2 bridge",9470.22502301459
