ParName   Value   Gradient
sel_devs_fsh(12,11)    0.0352989  0.000321634
sel_devs_fsh(12,12)    0.0361356 -0.000277957
sel_devs_fsh(13,1)    -0.223886 -5.24147e-05
sel_devs_fsh(13,2)    -0.140853 -0.000144523
sel_devs_fsh(13,3)   -0.0441385 -2.72862e-05
sel_devs_fsh(13,4)   -0.0296974  8.00666e-05
sel_devs_fsh(13,5)    0.0435355 -8.60501e-06
sel_devs_fsh(13,6)    0.0540633 -0.000265578
sel_devs_fsh(13,7)    0.0681771  0.000255241
sel_devs_fsh(13,8)    0.0678178  0.000127735
sel_devs_fsh(13,9)    0.0549979  3.06518e-05
sel_devs_fsh(13,10)    0.0494445 -7.85499e-05
sel_devs_fsh(13,11)    0.0505618   0.00018346
sel_devs_fsh(13,12)    0.0499772 -9.66244e-05
sel_devs_fsh(14,1)    -0.179537 -1.10727e-05
sel_devs_fsh(14,2)    -0.379621 -4.18526e-06
sel_devs_fsh(14,3)    -0.172978  1.00632e-06
sel_devs_fsh(14,4)   -0.0429639  0.000142261
sel_devs_fsh(14,5)    0.0824077   3.8668e-05
sel_devs_fsh(14,6)     0.140057 -0.000336314
sel_devs_fsh(14,7)     0.123473  0.000275198
sel_devs_fsh(14,8)     0.123492  6.76418e-05
sel_devs_fsh(14,9)    0.0992491   4.2184e-06
sel_devs_fsh(14,10)    0.0717834 -7.43966e-05
sel_devs_fsh(14,11)    0.0684771  0.000325242
sel_devs_fsh(14,12)    0.0661624 -0.000415763
sel_devs_fsh(15,1)    -0.198428 -3.16501e-05
sel_devs_fsh(15,2)    -0.487293 -0.000145525
sel_devs_fsh(15,3)    -0.274634  2.25144e-05
sel_devs_fsh(15,4)    0.0658579  6.26598e-05
sel_devs_fsh(15,5)      0.11504  8.96242e-05
sel_devs_fsh(15,6)     0.151159 -0.000368659
sel_devs_fsh(15,7)     0.148212  0.000260944
sel_devs_fsh(15,8)      0.13938   0.00011437
sel_devs_fsh(15,9)      0.09485  -3.8237e-05
sel_devs_fsh(15,10)    0.0839608 -0.000171461
sel_devs_fsh(15,11)    0.0824469  0.000216006
sel_devs_fsh(15,12)     0.079447 -2.49714e-05
sel_devs_fsh(16,1)    -0.164877  1.08282e-05
sel_devs_fsh(16,2)    -0.272784 -4.09631e-05
sel_devs_fsh(16,3)    -0.279677 -2.52208e-05
sel_devs_fsh(16,4)   -0.0226258  0.000102485
