year,age,original_proportion,tinyvast_proportion,percent_change,direction
2005,5,0.315455705,0.323311446,2.4902833822580663,Increase
2005,6,0.212212443,0.203501541,-4.104802657589683,Decrease
2005,7,0.111088479,0.102539016,-7.696084307716561,Decrease
2005,8,0.044305082,0.046597788,5.174814934322881,Increase
2005,9,0.037689865,0.035435609,-5.981066793420467,Decrease
2005,10,0.026322346,0.025863502,-1.7431728919603136,Decrease
2005,11,0.007632995,0.007206145,-5.592169259903882,Decrease
2005,12,0.01558497,0.015054541,-3.403465005065782,Decrease
2005,13,0.025879477,0.025066517,-3.141330870017201,Decrease
2005,14,0.01028251,0.010387289,1.019002169703694,Increase
2005,15,0.011137155,0.011781982,5.789871829924254,Increase
2006,1,0.118073324,0.11819138,0.09998532776125221,Increase
2006,2,0.010924574,0.010986264,0.5646902112613398,Increase
2006,3,0.016430321,0.016427249,-0.01869713927074095,Decrease
2006,4,0.075070767,0.07585387,1.0431530558359785,Increase
2006,5,0.202671348,0.202566719,-0.051624958847165205,Decrease
2006,6,0.238147648,0.237125204,-0.429331974758778,Decrease
2006,7,0.139930255,0.140011116,0.05778664521120728,Increase
2006,8,0.063718677,0.063678221,-0.06349158818851205,Decrease
2006,9,0.035376345,0.035316809,-0.1682932479316304,Decrease
2006,10,0.029513087,0.029406088,-0.36254763861198247,Decrease
2006,11,0.014187969,0.01414418,-0.30863473129945995,Decrease
2006,12,0.008802763,0.008776136,-0.30248457217352726,Decrease
2006,13,0.012626555,0.012645028000000001,0.14630277221301843,Increase
2006,14,0.017021159,0.017143538,0.7189815922640688,Increase
2006,15,0.017505208,0.017728199,1.2738551864108028,Increase
2007,1,0.21656618,0.219930182,1.5533367213661915,Increase
2007,2,0.005370355,0.005252652,-2.1917173073288496,Decrease
2007,3,0.017512126,0.018020818,2.904798652088282,Increase
2007,4,0.05600775,0.058147738,3.820878360584018,Increase
2007,5,0.175697453,0.173597407,-1.195262631382593,Decrease
2007,6,0.198660811,0.194610187,-2.0389647961318365,Decrease
2007,7,0.13248639,0.13139481,-0.8239185926946976,Decrease
2007,8,0.092350439,0.092621561,0.29357954649246293,Increase
2007,9,0.036625739,0.036305963,-0.8730909156536085,Decrease
2007,10,0.015708677,0.015817439,0.6923689372440363,Increase
2007,11,0.013770441,0.01456885,5.797991509494866,Increase
2007,12,0.012457423,0.012443656,-0.11051242299470443,Decrease
2007,13,0.005679235,0.005794214,2.0245508417947033,Increase
2007,14,0.006876364,0.007111858,3.4246878146648454,Increase
2007,15,0.014230616,0.014382664,1.0684569100873786,Increase
2008,1,0.080584122,0.07886659,-2.131352873708786,Decrease
2008,2,0.019705817,0.019361956,-1.7449720557132995,Decrease
2008,3,0.021877609,0.022126017,1.1354440057869306,Increase
2008,4,0.042330924,0.042560608,0.5425915106412533,Increase
2008,5,0.125630895,0.122884821,-2.1858269814920823,Decrease
2008,6,0.248969657,0.249090198,0.048415940099882045,Increase
2008,7,0.181456214,0.182417401,0.5297074036825227,Increase
2008,8,0.113435468,0.116266511,2.4957299951369754,Increase
2008,9,0.069021553,0.069380665,0.520289655029922,Increase
2008,10,0.025072209,0.025090156,0.07158124758770687,Increase
2008,11,0.020467609,0.020553202,0.41818758605364403,Increase
2008,12,0.015352256,0.015373428,0.1379080703187848,Increase
2008,13,0.006961159,0.006995592,0.4946446417902591,Increase
2008,14,0.00386054,0.003890194,0.7681308832443143,Increase
2008,15,0.02527397,0.02514266,-0.5195463949668337,Decrease
2009,1,0.172066598,0.177550958,3.1873472619014773,Increase
2009,2,0.043041039,0.043399985,0.8339622098806649,Increase
2009,3,0.088475663,0.089159579,0.7729990110387832,Increase
2009,4,0.100086046,0.102363815,2.275810755876997,Increase
2009,5,0.06789805,0.067211718,-1.0108272623440553,Decrease
2009,6,0.102448067,0.101027772,-1.3863560744391614,Decrease
2009,7,0.144668224,0.142321584,-1.6220839207924547,Decrease
2009,8,0.109967034,0.107707259,-2.0549567609507458,Decrease
2009,9,0.078748075,0.076815291,-2.4543888850616433,Decrease
2009,10,0.035864525,0.035354217,-1.4228767842317749,Decrease
2009,11,0.022561816,0.022276404,-1.2650222836672314,Decrease
2009,12,0.007147771,0.007258331,1.5467759109798005,Increase
2009,13,0.00718553,0.007268162,1.1499778026116378,Increase
2009,14,0.003704888,0.003774663,1.8833227887050896,Increase
2009,15,0.016136672,0.016510262,2.3151613913947067,Increase
2010,1,0.053575362,0.051723173,-3.457165627737623,Decrease
