"Fleet","Model","Year","Age","Selectivity","Relative_selectivity"
"Fishery","Model 23.2",1985,10,1.31101,0.923500116229105
"Fishery","Model 23.2",1985,11,1.29971,0.915540183571544
"Fishery","Model 23.2",1985,12,1.28922,0.908150830157578
"Fishery","Model 23.2",1985,13,1.28922,0.908150830157578
"Fishery","Model 23.2",1985,14,1.28922,0.908150830157578
"Fishery","Model 23.2",1985,15,1.28922,0.908150830157578
"Fishery","Model 23.2",1986,1,0.001743,0.00123363295349989
"Fishery","Model 23.2",1986,2,0.0440808,0.0311988109561894
"Fishery","Model 23.2",1986,3,0.250624,0.177382688088329
"Fishery","Model 23.2",1986,4,0.613,0.433859438035247
"Fishery","Model 23.2",1986,5,0.88414,0.625762615896383
"Fishery","Model 23.2",1986,6,1.30933,0.926696864604714
"Fishery","Model 23.2",1986,7,1.4129,1
"Fishery","Model 23.2",1986,8,1.33542,0.945162431877698
"Fishery","Model 23.2",1986,9,1.33328,0.943647816547526
"Fishery","Model 23.2",1986,10,1.31385,0.929895958666572
"Fishery","Model 23.2",1986,11,1.30469,0.923412838842098
"Fishery","Model 23.2",1986,12,1.29924,0.91955552409937
"Fishery","Model 23.2",1986,13,1.29924,0.91955552409937
"Fishery","Model 23.2",1986,14,1.29924,0.91955552409937
"Fishery","Model 23.2",1986,15,1.29924,0.91955552409937
"Fishery","Model 23.2",1987,1,0.00148488,0.00102457099091267
"Fishery","Model 23.2",1987,2,0.0396016,0.0273252051032589
"Fishery","Model 23.2",1987,3,0.273001,0.188371386974132
"Fishery","Model 23.2",1987,4,0.539447,0.372219807213287
"Fishery","Model 23.2",1987,5,0.880823,0.607770118749439
"Fishery","Model 23.2",1987,6,1.21927,0.841299412807827
"Fishery","Model 23.2",1987,7,1.25211,0.863959096648658
"Fishery","Model 23.2",1987,8,1.44927,1
"Fishery","Model 23.2",1987,9,1.43865,0.99267217288704
"Fishery","Model 23.2",1987,10,1.37212,0.946766303035321
"Fishery","Model 23.2",1987,11,1.3294,0.917289393970758
"Fishery","Model 23.2",1987,12,1.30121,0.897838222001421
"Fishery","Model 23.2",1987,13,1.30121,0.897838222001421
"Fishery","Model 23.2",1987,14,1.30121,0.897838222001421
"Fishery","Model 23.2",1987,15,1.30121,0.897838222001421
"Fishery","Model 23.2",1988,1,0.00127266,0.00089108120597667
"Fishery","Model 23.2",1988,2,0.0355511,0.0248918934057778
"Fishery","Model 23.2",1988,3,0.427629,0.299413955833135
"Fishery","Model 23.2",1988,4,0.562143,0.393596924843511
"Fishery","Model 23.2",1988,5,0.978489,0.685110837265967
"Fishery","Model 23.2",1988,6,1.17031,0.819418576969935
"Fishery","Model 23.2",1988,7,1.42822,1
"Fishery","Model 23.2",1988,8,1.35202,0.946646875131282
"Fishery","Model 23.2",1988,9,1.348,0.943832182716948
"Fishery","Model 23.2",1988,10,1.28494,0.899679321112994
"Fishery","Model 23.2",1988,11,1.28319,0.898454019688843
"Fishery","Model 23.2",1988,12,1.28206,0.897662825054964
"Fishery","Model 23.2",1988,13,1.28206,0.897662825054964
"Fishery","Model 23.2",1988,14,1.28206,0.897662825054964
"Fishery","Model 23.2",1988,15,1.28206,0.897662825054964
"Fishery","Model 23.2",1989,1,0.00106528,0.000684776879266678
"Fishery","Model 23.2",1989,2,0.0313679,0.0201637247213401
"Fishery","Model 23.2",1989,3,0.276219,0.177557435429335
"Fishery","Model 23.2",1989,4,0.618157,0.397359962973915
"Fishery","Model 23.2",1989,5,0.961516,0.618075929187612
"Fishery","Model 23.2",1989,6,1.18814,0.763753005155368
"Fishery","Model 23.2",1989,7,1.55566,1
"Fishery","Model 23.2",1989,8,1.43385,0.921698828792924
"Fishery","Model 23.2",1989,9,1.32723,0.853162001979867
"Fishery","Model 23.2",1989,10,1.30907,0.841488500057853
"Fishery","Model 23.2",1989,11,1.28265,0.824505354640474
"Fishery","Model 23.2",1989,12,1.25377,0.80594088682617
"Fishery","Model 23.2",1989,13,1.25377,0.80594088682617
"Fishery","Model 23.2",1989,14,1.25377,0.80594088682617
"Fishery","Model 23.2",1989,15,1.25377,0.80594088682617
"Fishery","Model 23.2",1990,1,0.000882216,0.000622137598375222
"Fishery","Model 23.2",1990,2,0.0279154,0.0196859044878847
"Fishery","Model 23.2",1990,3,0.184154,0.12986516600378
"Fishery","Model 23.2",1990,4,0.59791,0.421645369665172
"Fishery","Model 23.2",1990,5,1.04954,0.74013426983724
"Fishery","Model 23.2",1990,6,1.18632,0.836591351442837
"Fishery","Model 23.2",1990,7,1.40551,0.991163859975741
"Fishery","Model 23.2",1990,8,1.41804,1
"Fishery","Model 23.2",1990,9,1.32649,0.935439056726185
"Fishery","Model 23.2",1990,10,1.22835,0.866230853854616
"Fishery","Model 23.2",1990,11,1.37889,0.972391469916222
"Fishery","Model 23.2",1990,12,1.299,0.916053143775916
"Fishery","Model 23.2",1990,13,1.299,0.916053143775916
"Fishery","Model 23.2",1990,14,1.299,0.916053143775916
"Fishery","Model 23.2",1990,15,1.299,0.916053143775916
"Fishery","Model 23.2",1991,1,0.000710064,0.000429103918393
"Fishery","Model 23.2",1991,2,0.0233413,0.014105550049554
"Fishery","Model 23.2",1991,3,0.109874,0.0663987526892117
"Fishery","Model 23.2",1991,4,0.380412,0.229889530808093
"Fishery","Model 23.2",1991,5,0.742669,0.448807682080785
"Fishery","Model 23.2",1991,6,0.955204,0.577246247189925
"Fishery","Model 23.2",1991,7,1.37401,0.830337934201939
"Fishery","Model 23.2",1991,8,1.16394,0.703389011095265
"Fishery","Model 23.2",1991,9,1.30856,0.790785370688196
"Fishery","Model 23.2",1991,10,1.13167,0.683887693683676
"Fishery","Model 23.2",1991,11,1.65476,1
"Fishery","Model 23.2",1991,12,1.53871,0.929868984021852
"Fishery","Model 23.2",1991,13,1.53871,0.929868984021852
"Fishery","Model 23.2",1991,14,1.53871,0.929868984021852
"Fishery","Model 23.2",1991,15,1.53871,0.929868984021852
"Fishery","Model 23.2",1992,1,0.00062883,0.000422322663836989
"Fishery","Model 23.2",1992,2,0.0221791,0.0148954989321549
"Fishery","Model 23.2",1992,3,0.185394,0.124510738895083
"Fishery","Model 23.2",1992,4,0.300793,0.202012787277196
"Fishery","Model 23.2",1992,5,0.536911,0.360589799728673
"Fishery","Model 23.2",1992,6,0.917578,0.616246020765893
"Fishery","Model 23.2",1992,7,1.30793,0.878406694515709
"Fishery","Model 23.2",1992,8,1.44121,0.967917634890999
"Fishery","Model 23.2",1992,9,1.44725,0.971974103077274
"Fishery","Model 23.2",1992,10,1.41985,0.953572244086556
"Fishery","Model 23.2",1992,11,1.48898,1
"Fishery","Model 23.2",1992,12,1.48282,0.995862939730554
"Fishery","Model 23.2",1992,13,1.48282,0.995862939730554
"Fishery","Model 23.2",1992,14,1.48282,0.995862939730554
"Fishery","Model 23.2",1992,15,1.48282,0.995862939730554
"Fishery","Model 23.2",1993,1,0.000568144,0.000389657490089571
"Fishery","Model 23.2",1993,2,0.0140632,0.00964514491859046
"Fishery","Model 23.2",1993,3,0.182435,0.125121737102726
"Fishery","Model 23.2",1993,4,0.68874,0.472367392288383
"Fishery","Model 23.2",1993,5,0.560812,0.384628890443466
"Fishery","Model 23.2",1993,6,0.964025,0.66116963636613
"Fishery","Model 23.2",1993,7,1.43692,0.985501282526096
"Fishery","Model 23.2",1993,8,1.45806,1
"Fishery","Model 23.2",1993,9,1.43511,0.984259906999712
"Fishery","Model 23.2",1993,10,1.35427,0.928816372440092
"Fishery","Model 23.2",1993,11,1.30773,0.896897247026871
"Fishery","Model 23.2",1993,12,1.39932,0.95971359203325
"Fishery","Model 23.2",1993,13,1.39932,0.95971359203325
"Fishery","Model 23.2",1993,14,1.39932,0.95971359203325
"Fishery","Model 23.2",1993,15,1.39932,0.95971359203325
"Fishery","Model 23.2",1994,1,0.000541365,0.000380631802458025
"Fishery","Model 23.2",1994,2,0.0137829,0.00969070787749248
