"Scenario","Year","Quantity","Value","Reference_value","Percent_change"
"Model 26.0 base",2012,"Fishing mortality",0.29833575168638,0.29833575168638,0
"Model 26.0 base",2013,"Spawning biomass",2837.64044173251,2837.64044173251,0
"Model 26.0 base",2013,"Total biomass",9681.21176427506,9681.21176427506,0
"Model 26.0 base",2013,"Age-1 recruitment",43507.8052051937,43507.8052051937,0
"Model 26.0 base",2013,"Fishing mortality",0.281685168056364,0.281685168056364,0
"Model 26.0 base",2014,"Spawning biomass",2795.47329179692,2795.47329179692,0
"Model 26.0 base",2014,"Total biomass",10539.4879779937,10539.4879779937,0
"Model 26.0 base",2014,"Age-1 recruitment",49730.0737830813,49730.0737830813,0
"Model 26.0 base",2014,"Fishing mortality",0.265102621487941,0.265102621487941,0
"Model 26.0 base",2015,"Spawning biomass",2610.64728217966,2610.64728217966,0
"Model 26.0 base",2015,"Total biomass",11632.5625725174,11632.5625725174,0
"Model 26.0 base",2015,"Age-1 recruitment",21299.535346045,21299.535346045,0
"Model 26.0 base",2015,"Fishing mortality",0.286921654613547,0.286921654613547,0
"Model 26.0 base",2016,"Spawning biomass",2871.80017161916,2871.80017161916,0
"Model 26.0 base",2016,"Total biomass",12665.1699955727,12665.1699955727,0
"Model 26.0 base",2016,"Age-1 recruitment",8098.86567790033,8098.86567790033,0
"Model 26.0 base",2016,"Fishing mortality",0.213181425022754,0.213181425022754,0
"Model 26.0 base",2017,"Spawning biomass",3321.04206866915,3321.04206866915,0
"Model 26.0 base",2017,"Total biomass",11687.2778834389,11687.2778834389,0
"Model 26.0 base",2017,"Age-1 recruitment",8186.02613667922,8186.02613667922,0
"Model 26.0 base",2017,"Fishing mortality",0.207661039712889,0.207661039712889,0
"Model 26.0 base",2018,"Spawning biomass",3168.01136304127,3168.01136304127,0
"Model 26.0 base",2018,"Total biomass",10138.762374199,10138.762374199,0
"Model 26.0 base",2018,"Age-1 recruitment",17125.1008813844,17125.1008813844,0
"Model 26.0 base",2018,"Fishing mortality",0.171544055520326,0.171544055520326,0
"Model 26.0 base",2019,"Spawning biomass",3080.37381258885,3080.37381258885,0
"Model 26.0 base",2019,"Total biomass",10871.0042646151,10871.0042646151,0
"Model 26.0 base",2019,"Age-1 recruitment",83582.6962387013,83582.6962387013,0
"Model 26.0 base",2019,"Fishing mortality",0.189741570120087,0.189741570120087,0
"Model 26.0 base",2020,"Spawning biomass",2380.96743353698,2380.96743353698,0
"Model 26.0 base",2020,"Total biomass",11508.5707103097,11508.5707103097,0
"Model 26.0 base",2020,"Age-1 recruitment",20796.3250684703,20796.3250684703,0
"Model 26.0 base",2020,"Fishing mortality",0.247378045491171,0.247378045491171,0
"Model 26.0 base",2021,"Spawning biomass",2593.49603123074,2593.49603123074,0
"Model 26.0 base",2021,"Total biomass",11201.673460601,11201.673460601,0
"Model 26.0 base",2021,"Age-1 recruitment",10865.1985369415,10865.1985369415,0
"Model 26.0 base",2021,"Fishing mortality",0.235153902099139,0.235153902099139,0
"Model 26.0 base",2022,"Spawning biomass",3569.87587806377,3569.87587806377,0
"Model 26.0 base",2022,"Total biomass",12210.5619148794,12210.5619148794,0
"Model 26.0 base",2022,"Age-1 recruitment",10564.0157533712,10564.0157533712,0
"Model 26.0 base",2022,"Fishing mortality",0.168211640815917,0.168211640815917,0
"Model 26.0 base",2023,"Spawning biomass",3486.1153651859,3486.1153651859,0
"Model 26.0 base",2023,"Total biomass",10880.7201206255,10880.7201206255,0
"Model 26.0 base",2023,"Age-1 recruitment",14495.2388593378,14495.2388593378,0
"Model 26.0 base",2023,"Fishing mortality",0.168322377046655,0.168322377046655,0
"Model 26.0 base",2024,"Spawning biomass",3526.27254278764,3526.27254278764,0
"Model 26.0 base",2024,"Total biomass",9624.30470407444,9624.30470407444,0
"Model 26.0 base",2024,"Age-1 recruitment",15784.6839550959,15784.6839550959,0
"Model 26.0 base",2024,"Fishing mortality",0.173146061770225,0.173146061770225,0
"Drop BTS",1964,"Spawning biomass",1477.68383945362,1313.96044212048,12.4602988099793
"Drop BTS",1964,"Total biomass",5298.38855598357,4713.54127369633,12.4078107802078
"Drop BTS",1964,"Age-1 recruitment",6249.03378020704,5634.8318223981,10.9000938655796
"Drop BTS",1964,"Fishing mortality",0.0478259425054222,0.0543003112157484,-11.923262621096
"Drop BTS",1965,"Spawning biomass",1531.44315770475,1342.64982205308,14.061249072597
"Drop BTS",1965,"Total biomass",5758.29482170907,5088.60349549152,13.1606112917011
"Drop BTS",1965,"Age-1 recruitment",25663.9553496479,23293.2979372444,10.1774227882643
"Drop BTS",1965,"Fishing mortality",0.0577307373236897,0.0667935992206836,-13.5684586588163
"Drop BTS",1966,"Spawning biomass",1574.63488524333,1365.25847006155,15.3360275561843
"Drop BTS",1966,"Total biomass",6032.53422926214,5309.91119970155,13.6089475394844
"Drop BTS",1966,"Age-1 recruitment",16991.6739055356,15752.6324551867,7.86561518447002
"Drop BTS",1966,"Fishing mortality",0.0604596551622796,0.0706125818056261,-14.3783535224562
"Drop BTS",1967,"Spawning biomass",1707.57358650062,1475.26521737298,15.7468885182091
"Drop BTS",1967,"Total biomass",6853.2838320267,6049.7234273398,13.2825973672692
"Drop BTS",1967,"Age-1 recruitment",28858.849440426,27115.2612370909,6.43028362548137
"Drop BTS",1967,"Fishing mortality",0.113151722310975,0.133575669485216,-15.2901701731703
"Drop BTS",1968,"Spawning biomass",1901.03356181717,1640.4339595087,15.886016062879
"Drop BTS",1968,"Total biomass",7583.14527072194,6695.09110460443,13.2642581294639
"Drop BTS",1968,"Age-1 recruitment",23516.2142089316,22388.337635434,5.03778615395094
"Drop BTS",1968,"Fishing mortality",0.120820597824539,0.142129722798232,-14.99272956716
"Drop BTS",1969,"Spawning biomass",2148.62384508717,1862.08336951357,15.3881657644818
"Drop BTS",1969,"Total biomass",8212.69879574762,7283.36789170734,12.7596315036947
"Drop BTS",1969,"Age-1 recruitment",27391.234235378,26267.8500053566,4.27665084806059
"Drop BTS",1969,"Fishing mortality",0.128764116504716,0.151654026941367,-15.0935065149969
"Drop BTS",1970,"Spawning biomass",2267.96466031442,1974.74463999399,14.8485031624809
"Drop BTS",1970,"Total biomass",8972.6037753549,7988.66852048782,12.3166363999665
"Drop BTS",1970,"Age-1 recruitment",24408.0110922755,23326.6571303842,4.63570050284992
"Drop BTS",1970,"Fishing mortality",0.185956354132182,0.219763993845421,-15.3836118108678
"Drop BTS",1971,"Spawning biomass",2398.4297624748,2087.35341165386,14.9029076285872
"Drop BTS",1971,"Total biomass",8923.24166880954,7920.36876064456,12.6619471702901
